"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-23","2.2",",,W",,,"0.0","T,,W,2400",,,"18.9",",,W","16.7",",,W",,,"5.8",",,W","8.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-24","1.0",",,W",,,"0.0","T,,W,2400",,,"28.9",",,W","18.9",",,W",,,"4.0",",,W","9.4",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-25","2.2",",,W",,,"0.0",",,W,2400",,,"27.2",",,W","19.4",",,W",,,"6.7",",,W","10.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-26","1.7",",,W",,,"0.0",",,W,2400",,,"25.6",",,W","16.1",",,W",,,"4.0",",,W","8.5",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-27","1.6",",,W",,,"0.3",",,W,2400",,,"22.8",",,W","18.9",",,W",,,"4.5",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-28","1.3",",,W",,,"34.5",",,W,2400",,,"28.3",",,W","21.1",",,W",,,"5.8",",,W","8.9",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-29","1.2",",,W",,,"0.0",",,W,2400",,,"31.7",",,W","21.1",",,W",,,"4.5",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-06-30","1.0",",,W",,,"0.0",",,W,2400",,,"33.9",",,W","22.2",",,W",,,"4.0",",,W","6.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-01","1.3",",,W",,,"0.0",",,W,2400",,,"35.6",",,W","26.1",",,W",,,"4.0",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-02","0.9",",,W",,,"0.0",",,W,2400",,,"35.0",",,W","26.1",",,W",,,"4.5",",,W","8.9",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-03","0.5",",,W",,,"0.3",",,W,2400",,,"33.3",",,W","25.0",",,W",,,"4.0",",,W","5.8",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-04","0.5",",,W",,,"0.0",",,W,2400",,,"30.0",",,W","25.0",",,W",,,"3.1",",,W","5.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-05","1.3",",,W",,,"0.0",",,W,2400",,,"32.2",",,W","24.4",",,W",,,"4.5",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-06","1.8",",,W",,,"5.8",",,W,2400",,,"26.7",",,W","20.6",",,W",,,"7.2",",,W","10.3",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-07","2.4",",,W",,,"0.0",",,W,2400",,,"25.6",",,W","16.7",",,W",,,"6.7",",,W","10.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-08","0.9",",,W",,,"0.0",",,W,2400",,,"28.9",",,W","16.7",",,W",,,"3.6",",,W","5.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-09","1.2",",,W",,,"0.0",",,W,2400",,,"30.6",",,W","19.4",",,W",,,"4.0",",,W","6.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-10","1.7",",,W",,,"0.0",",,W,2400",,,"33.9",",,W","22.2",",,W",,,"4.5",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-11","1.2",",,W",,,"0.0",",,W,2400",,,"31.1",",,W","23.3",",,W",,,"5.4",",,W","8.5",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-12","0.6",",,W",,,"18.0",",,W,2400",,,"28.9",",,W","17.8",",,W",,,"4.0",",,W","6.7",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-13","0.9",",,W",,,"0.0",",,W,2400",,,"28.9",",,W","20.0",",,W",,,"4.0",",,W","7.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-14","1.6",",,W",,,"9.1",",,W,2400",,,"31.1",",,W","21.1",",,W",,,"5.8",",,W","9.8",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-15","1.5",",,W",,,"16.3",",,W,2400",,,"28.3",",,W","20.6",",,W",,,"4.5",",,W","8.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-16","1.0",",,W",,,"0.0",",,W,2400",,,"32.2",",,W","23.9",",,W",,,"3.6",",,W","7.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-17","1.2",",,W",,,"56.9",",,W,2400",,,"31.1",",,W","21.1",",,W",,,"7.2",",,W","12.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-18","1.5",",,W",,,"0.0",",,W,2400",,,"29.4",",,W","18.9",",,W",,,"5.4",",,W","9.8",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-19","1.0",",,W",,,"0.0",",,W,2400",,,"28.3",",,W","18.9",",,W",,,"4.0",",,W","6.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-20","0.9",",,W",,,"0.0",",,W,2400",,,"27.8",",,W","20.6",",,W",,,"3.6",",,W","7.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-21","2.6",",,W",,,"16.0",",,W,2400",,,"26.1",",,W","18.3",",,W",,,"6.7",",,W","9.8",",,W","    1",",,W",,,,,,,,,,,,
