name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2020-06-01,23.2,11.7,17.3,23.2,11.7,17.3,3.5,40.8,0,0,0,,0,0,50.8,20.6,281.4,1021.8,37.3,16,288.4,24.9,8,,2020-06-01T05:26:56,2020-06-01T20:21:25,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-02,23.3,15.1,19.3,23.3,15.1,19.3,8.3,49.5,0,0,0,,0,0,,18.4,259.4,1015.4,53.3,16,178.7,15.2,7,,2020-06-02T05:26:32,2020-06-02T20:22:07,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-03,26.1,16.2,21,26.1,16.2,21,16.3,75.2,9.296,100,25,rain,0,0,46.4,22.3,263.4,1005.1,23.7,15.4,190,16.5,7,,2020-06-03T05:26:10,2020-06-03T20:22:48,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-04,30.6,19.4,23.7,30.4,19.4,23.7,17,68.5,0.23,100,4.17,rain,0,0,83.2,13.2,216.8,1010.6,17.1,16,262.8,22.8,8,,2020-06-04T05:25:50,2020-06-04T20:23:28,0.46,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-05,28.2,20,22.5,29.9,20,22.7,19.7,84.7,4.253,100,33.33,rain,0,0,31.7,16.5,246.3,1012.5,54.7,15.4,106.1,9.2,5,,2020-06-05T05:25:32,2020-06-05T20:24:07,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-06,30,20.7,24.8,32.3,20.7,25.2,17.8,69.9,2.329,100,16.67,rain,0,0,59,18.3,256.8,1008.2,40.9,14.9,254.9,22.1,9,,2020-06-06T05:25:16,2020-06-06T20:24:44,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-07,26.5,17.8,22.3,26.5,17.8,22.3,9.1,44.1,0.23,100,4.17,rain,0,0,47.9,22.4,351.6,1012,40.8,16,309.8,26.6,10,,2020-06-07T05:25:02,2020-06-07T20:25:19,0.56,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-08,27.7,17.1,21.8,26.9,17.1,21.7,9,45.2,0,0,0,,0,0,59,16.5,281.6,1016,1.8,16,342.7,29.7,10,,2020-06-08T05:24:50,2020-06-08T20:25:53,0.59,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-09,30.7,18.4,24.6,30.3,18.4,24.5,13.9,52.6,0,0,0,,0,0,35.3,14.9,246,1013.9,0.6,16,328,28.3,9,,2020-06-09T05:24:40,2020-06-09T20:26:26,0.62,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-10,28.3,21.7,24.5,30.3,21.7,24.8,17.8,66.8,0,0,0,,0,0,48.1,20.6,95.5,1014.7,1.2,16,314.2,27.2,9,,2020-06-10T05:24:32,2020-06-10T20:26:57,0.66,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-11,27.2,21.8,23.4,29,21.8,23.5,20.3,83.2,0.541,100,12.5,rain,0,0,53.6,29.3,235,1015.6,76.8,15.9,114.3,9.6,5,,2020-06-11T05:24:26,2020-06-11T20:27:26,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-12,29.3,20.7,25,28,20.7,24.7,14,55.3,0,0,0,,0,0,57.2,16.6,247.8,1017.9,30.8,15.9,294.7,25.5,10,,2020-06-12T05:24:22,2020-06-12T20:27:54,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-13,25.5,16.7,20.9,25.5,16.7,20.9,8,44.3,0,0,0,,0,0,38.9,25.8,18.1,1021.5,4.5,16,346,29.8,10,,2020-06-13T05:24:20,2020-06-13T20:28:20,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-14,24.2,14.3,18.8,24.2,14.3,18.8,8.1,50.4,0,0,0,,0,0,37.1,25.8,69.9,1027.8,9.7,16,343.1,29.6,10,,2020-06-14T05:24:19,2020-06-14T20:28:45,0.79,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-15,23.4,17.1,19.6,23.4,17.1,19.6,11.7,61.2,0,0,0,,0,0,33.5,24.2,63.1,1029.1,3.3,16,293.8,25.3,9,,2020-06-15T05:24:21,2020-06-15T20:29:08,0.82,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-16,25,17.1,20.5,25,17.1,20.5,11.7,58.5,0,0,0,,0,0,33.5,24.1,64.5,1028,0.7,16,336.3,29,10,,2020-06-16T05:24:25,2020-06-16T20:29:29,0.85,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-17,26.1,17.8,20.6,26.1,17.8,20.6,14.5,69.1,0,0,0,,0,0,33.5,24.2,58.5,1024.6,34.9,16,275,23.8,10,,2020-06-17T05:24:30,2020-06-17T20:29:48,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-18,24.4,18.9,21,24.4,18.9,21,17.9,83,0,0,0,,0,0,,18.4,97.7,1021.9,84.6,15.8,196.4,17,6,,2020-06-18T05:24:38,2020-06-18T20:30:06,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2020-06-19,27.3,18.4,22.3,28.2,18.4,22.5,18,78.3,0,0,0,,0,0,38.9,24.3,199.5,1020.1,46.2,14,306.9,26.5,10,,2020-06-19T05:24:47,2020-06-19T20:30:21,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
